event_id,timestamp,dt,damage_category_56,damage_category_71,damage_category_90,n_channels_used,cumulative_damage_category_56,cumulative_damage_category_71,cumulative_damage_category_90
traindata_20181030_170204,20181030_170204,2018-10-30 17:02:04,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181031_080935,20181031_080935,2018-10-31 08:09:35,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181031_170914,20181031_170914,2018-10-31 17:09:14,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181101_080233,20181101_080233,2018-11-01 08:02:33,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181101_171444,20181101_171444,2018-11-01 17:14:44,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181102_080220,20181102_080220,2018-11-02 08:02:20,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181102_170602,20181102_170602,2018-11-02 17:06:02,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181103_081423,20181103_081423,2018-11-03 08:14:23,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181103_171634,20181103_171634,2018-11-03 17:16:34,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181104_082327,20181104_082327,2018-11-04 08:23:27,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181104_172502,20181104_172502,2018-11-04 17:25:02,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181105_080450,20181105_080450,2018-11-05 08:04:50,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181105_170037,20181105_170037,2018-11-05 17:00:37,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181106_080206,20181106_080206,2018-11-06 08:02:06,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181106_170157,20181106_170157,2018-11-06 17:01:57,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181107_080120,20181107_080120,2018-11-07 08:01:20,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181107_170459,20181107_170459,2018-11-07 17:04:59,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181108_080324,20181108_080324,2018-11-08 08:03:24,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181108_170539,20181108_170539,2018-11-08 17:05:39,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181109_080033,20181109_080033,2018-11-09 08:00:33,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181109_170336,20181109_170336,2018-11-09 17:03:36,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181110_081449,20181110_081449,2018-11-10 08:14:49,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181110_171624,20181110_171624,2018-11-10 17:16:24,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181111_082838,20181111_082838,2018-11-11 08:28:38,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181111_171937,20181111_171937,2018-11-11 17:19:37,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181112_080029,20181112_080029,2018-11-12 08:00:29,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181112_170000,20181112_170000,2018-11-12 17:00:00,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181113_080042,20181113_080042,2018-11-13 08:00:42,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181113_170739,20181113_170739,2018-11-13 17:07:39,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181114_080632,20181114_080632,2018-11-14 08:06:32,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181114_170559,20181114_170559,2018-11-14 17:05:59,0.0,0.0,0.0,4,0.0,0.0,0.0
traindata_20181115_080643,20181115_080643,2018-11-15 08:06:43,9.650650278884807e-10,4.735279439236666e-10,2.324840328363009e-10,4,9.650650278884807e-10,4.735279439236666e-10,2.324840328363009e-10
traindata_20181115_171218,20181115_171218,2018-11-15 17:12:18,1.0419194895311402e-09,5.112380817395965e-10,2.509982621035674e-10,4,2.0069845174196207e-09,9.84766025663263e-10,4.834822949398684e-10
traindata_20181116_080250,20181116_080250,2018-11-16 08:02:50,2.5756479333496095e-09,1.263791801490105e-09,6.204732338314474e-10,4,4.58263245076923e-09,2.248557827153368e-09,1.1039555287713158e-09
traindata_20181116_170102,20181116_170102,2018-11-16 17:01:02,1.7292894781869623e-09,8.485095484667461e-10,4.16585598081319e-10,4,6.311921928956192e-09,3.097067375620114e-09,1.5205411268526347e-09
traindata_20181117_082124,20181117_082124,2018-11-17 08:21:24,1.7098094139039213e-09,8.389512756862767e-10,4.1189285326769676e-10,4,8.021731342860113e-09,3.936018651306391e-09,1.9324339801203317e-09
traindata_20181117_170911,20181117_170911,2018-11-17 17:09:11,6.88153045360015e-10,3.376556887436943e-10,1.657759742303764e-10,4,8.709884388220129e-09,4.2736743400500855e-09,2.098209954350708e-09
traindata_20181118_095459,20181118_095459,2018-11-18 09:54:59,8.656169963252995e-09,4.247318311721734e-09,2.0852701567443595e-09,4,1.7366054351473124e-08,8.52099265177182e-09,4.183480111095067e-09
traindata_20181118_172302,20181118_172302,2018-11-18 17:23:02,1.865748835445519e-08,9.154659887111605e-09,4.494586385262006e-09,4,3.6023542705928314e-08,1.7675652538883427e-08,8.678066496357073e-09
traindata_20181119_080130,20181119_080130,2018-11-19 08:01:30,1.3290788299039107e-08,6.521384025425459e-09,3.2017490780851187e-09,4,4.931433100496742e-08,2.4197036564308887e-08,1.1879815574442192e-08
traindata_20181119_170059,20181119_170059,2018-11-19 17:00:59,6.379434991081654e-09,3.130193973903555e-09,1.5368050142576067e-09,4,5.5693765996049075e-08,2.7327230538212442e-08,1.3416620588699798e-08
traindata_20181120_083725,20181120_083725,2018-11-20 08:37:25,8.446633883141171e-09,4.1445053547438316e-09,2.034792943788367e-09,4,6.414039987919024e-08,3.147173589295627e-08,1.5451413532488165e-08
traindata_20181120_170149,20181120_170149,2018-11-20 17:01:49,2.051149272679885e-09,1.0064363226359366e-09,4.941215784238009e-10,4,6.619154915187013e-08,3.247817221559221e-08,1.5945535110911966e-08
traindata_20181121_081125,20181121_081125,2018-11-21 08:11:25,3.857538941308531e-08,1.8927765805377283e-08,9.292806018063638e-09,4,1.0476693856495544e-07,5.1405938020969496e-08,2.5238341128975606e-08
traindata_20181121_170012,20181121_170012,2018-11-21 17:00:12,3.9690869162691945e-09,1.947509766080201e-09,9.56152493672882e-10,4,1.0873602548122463e-07,5.3353447787049695e-08,2.6194493622648488e-08
traindata_20181122_081306,20181122_081306,2018-11-22 08:13:06,3.7061472252503706e-08,1.818493287743515e-08,8.928103581749918e-09,4,1.4579749773372834e-07,7.153838066448484e-08,3.5122597204398404e-08
traindata_20181122_170341,20181122_170341,2018-11-22 17:03:41,1.3611642062865623e-09,6.678817171062667e-10,3.279042705778067e-10,4,1.471586619400149e-07,7.220626238159111e-08,3.5450501474976214e-08
traindata_20181123_082036,20181123_082036,2018-11-23 08:20:36,2.9699987522262427e-08,1.4572877080362548e-08,7.154722920040657e-09,4,1.7685864946227732e-07,8.677913946195366e-08,4.260522439501687e-08
traindata_20181123_170108,20181123_170108,2018-11-23 17:01:08,3.830538498816271e-09,1.8795282877813705e-09,9.227761989137421e-10,4,1.8068918796109358e-07,8.865866774973504e-08,4.3528000593930607e-08
traindata_20181124_083246,20181124_083246,2018-11-24 08:32:46,8.532960858802632e-09,4.186863365975013e-09,2.0555891003833784e-09,4,1.8922214881989621e-07,9.284553111571005e-08,4.558358969431398e-08
traindata_20181124_172922,20181124_172922,2018-11-24 17:29:22,2.6593764112318895e-08,1.3048748091980946e-08,6.406434126679006e-09,4,2.158159129322151e-07,1.05894279207691e-07,5.199002382099299e-08
traindata_20181125_082240,20181125_082240,2018-11-25 08:22:40,2.6124360852441714e-08,1.2818426244128854e-08,6.293354945764613e-09,4,2.4194027378465685e-07,1.1871270545181986e-07,5.8283378766757605e-08
traindata_20181125_172733,20181125_172733,2018-11-25 17:27:33,2.0281273844037553e-08,9.951401849606465e-09,4.885756086960903e-09,4,2.622215476286944e-07,1.2866410730142632e-07,6.316913485371851e-08
traindata_20181126_080451,20181126_080451,2018-11-26 08:04:51,7.858808756811047e-09,3.856077512666915e-09,1.8931859514898876e-09,4,2.7008035638550546e-07,1.3252018481409324e-07,6.506232080520839e-08
traindata_20181126_170209,20181126_170209,2018-11-26 17:02:09,1.7993783995447913e-09,8.82900042229655e-10,4.3347000962202767e-10,4,2.7187973478505026e-07,1.334030848563229e-07,6.549579081483042e-08
traindata_20181127_080359,20181127_080359,2018-11-27 08:03:59,1.0344629754220791e-08,5.075793979277637e-09,2.4920198887753607e-09,4,2.8222436453927104e-07,1.3847887883560053e-07,6.798781070360578e-08
traindata_20181127_170417,20181127_170417,2018-11-27 17:04:17,4.605995399805636e-09,2.260021312930496e-09,1.1095836599893918e-09,4,2.868303599390767e-07,1.4073890014853102e-07,6.909739436359518e-08
traindata_20181128_080350,20181128_080350,2018-11-28 08:03:50,3.896618019414619e-08,1.9119514910061935e-08,9.386947463614786e-09,4,3.257965401332229e-07,1.5985841505859295e-07,7.848434182720996e-08
traindata_20181128_170237,20181128_170237,2018-11-28 17:02:37,2.154516294502295e-09,1.0571553642534457e-09,5.190226798015296e-10,4,3.279510564277252e-07,1.609155704228464e-07,7.90033645070115e-08
traindata_20181129_080613,20181129_080613,2018-11-29 08:06:13,4.054153083694297e-08,1.9892491372046614e-08,9.766449217367045e-09,4,3.684925872646682e-07,1.80808061794893e-07,8.876981372437854e-08
traindata_20181129_170553,20181129_170553,2018-11-29 17:05:53,3.928766253562212e-08,1.927725647956004e-08,9.46439251557725e-09,4,4.077802498002903e-07,2.0008531827445304e-07,9.823420623995579e-08
traindata_20181130_080707,20181130_080707,2018-11-30 08:07:07,4.106122066992734e-08,2.014748730597819e-08,9.89164242684494e-09,4,4.4884147047021766e-07,2.2023280558043122e-07,1.0812584866680072e-07
traindata_20181130_170839,20181130_170839,2018-11-30 17:08:39,1.345960981281323e-09,6.604219587794196e-10,3.242418157595348e-10,4,4.50187431451499e-07,2.2089322753921063e-07,1.0845009048256026e-07
traindata_20181201_081217,20181201_081217,2018-12-01 08:12:17,4.990527882431855e-10,2.448699661650949e-10,1.2022174823061077e-10,4,4.5068648423974217e-07,2.2113809750537574e-07,1.0857031223079087e-07
traindata_20181202_081201,20181202_081201,2018-12-02 08:12:01,7.916303320046779e-09,3.884288339428896e-09,1.9070363838866054e-09,4,4.586027875597889e-07,2.2502238584480462e-07,1.1047734861467749e-07
traindata_20181202_171556,20181202_171556,2018-12-02 17:15:56,1.4292839510638973e-08,7.013059960438136e-09,3.4431430775039422e-09,4,4.728956270704279e-07,2.3203544580524275e-07,1.1392049169218143e-07
traindata_20181203_080831,20181203_080831,2018-12-03 08:08:31,3.895745382740109e-08,1.911523314833261e-08,9.384845283062922e-09,4,5.11853080897829e-07,2.5115067895357534e-07,1.2330533697524436e-07
traindata_20181203_170042,20181203_170042,2018-12-03 17:00:42,2.117137747671427e-09,1.0388148525612942e-09,5.10018192997346e-10,4,5.139702186455003e-07,2.5218949380613666e-07,1.238153551682417e-07
traindata_20181204_080208,20181204_080208,2018-12-04 08:02:08,1.0160021656433309e-08,4.985212422127825e-09,2.447547823341828e-09,4,5.241302403019337e-07,2.5717470622826446e-07,1.2626290299158353e-07
traindata_20181204_170911,20181204_170911,2018-12-04 17:09:11,4.617157985325086e-08,2.2654984528300327e-08,1.1122727253098077e-08,4,5.703018201551845e-07,2.7982969075656477e-07,1.373856302446816e-07
traindata_20181205_080027,20181205_080027,2018-12-05 08:00:27,3.576987756494142e-09,1.7551186799077852e-09,8.616958598689645e-10,4,5.738788079116786e-07,2.8158480943647257e-07,1.3824732610455057e-07
traindata_20181205_170619,20181205_170619,2018-12-05 17:06:19,3.9200899315570766e-08,1.9234684416526114e-08,9.443491267768557e-09,4,6.130797072272494e-07,3.008194938529987e-07,1.4769081737231912e-07
traindata_20181206_080703,20181206_080703,2018-12-06 08:07:03,4.278829496731647e-08,2.0994909932861096e-08,1.0307694388175925e-08,4,6.558680021945658e-07,3.218144037858598e-07,1.5799851176049504e-07
traindata_20181206_170023,20181206_170023,2018-12-06 17:00:23,1.9022708831559534e-09,9.333862424354545e-10,4.5825679480976135e-10,4,6.577702730777218e-07,3.227477900282952e-07,1.584567685553048e-07
traindata_20181207_080512,20181207_080512,2018-12-07 08:05:12,3.654452963534851e-08,1.7931284918433257e-08,8.803572176188426e-09,4,6.943148027130702e-07,3.406790749467285e-07,1.6726034073149323e-07
traindata_20181207_170345,20181207_170345,2018-12-07 17:03:45,4.168273347133441e-09,2.0452444661666905e-09,1.0041364775448372e-09,4,6.984830760602037e-07,3.427243194128952e-07,1.6826447720903806e-07
traindata_20181208_081053,20181208_081053,2018-12-08 08:10:53,8.017858110846939e-09,3.934118174614629e-09,1.9315009190596662e-09,4,7.065009341710506e-07,3.4665843758750984e-07,1.7019597812809772e-07
traindata_20181208_171525,20181208_171525,2018-12-08 17:15:25,1.3012156223973785e-08,6.384667773355332e-09,3.134626649423018e-09,4,7.195130903950244e-07,3.530431053608652e-07,1.7333060477752074e-07
traindata_20181209_080248,20181209_080248,2018-12-09 08:02:48,9.411321116552804e-10,4.61784792645249e-10,2.2671859659870189e-10,4,7.204542225066796e-07,3.535048901535104e-07,1.7355732337411945e-07
traindata_20181209_171122,20181209_171122,2018-12-09 17:11:22,4.4968507721044384e-10,2.2064673765095038e-10,1.0832907341480014e-10,4,7.2090390758389e-07,3.537255368911614e-07,1.7366565244753425e-07
traindata_20181210_080221,20181210_080221,2018-12-10 08:02:21,1.5738581723683663e-09,7.722441523134047e-10,3.791422178307861e-10,4,7.224777657562584e-07,3.544977810434748e-07,1.7404479466536504e-07
traindata_20181210_170107,20181210_170107,2018-12-10 17:01:07,1.9286218456679626e-09,9.463158551953556e-10,4.646047380642318e-10,4,7.244063876019264e-07,3.554440968986702e-07,1.7450939940342928e-07
traindata_20181211_170633,20181211_170633,2018-12-11 17:06:33,3.514905502626572e-08,1.7246568134236392e-08,8.467402534283515e-09,4,7.595554426281921e-07,3.7269066503290656e-07,1.829768019377128e-07
traindata_20181212_080808,20181212_080808,2018-12-12 08:08:08,3.693684532855385e-08,1.8123782250948735e-08,8.898080972865997e-09,4,7.964922879567459e-07,3.908144472838553e-07,1.918748829105788e-07
traindata_20181212_172843,20181212_172843,2018-12-12 17:28:43,1.1229347864282877e-09,5.50989814376731e-10,2.7051483601288096e-10,4,7.976152227431743e-07,3.91365437098232e-07,1.921453977465917e-07
traindata_20181213_080252,20181213_080252,2018-12-13 08:02:52,7.117878136388052e-10,3.4925254792390404e-10,1.7146958666665625e-10,4,7.983270105568131e-07,3.9171468964615593e-07,1.9231686733325834e-07
traindata_20181213_170045,20181213_170045,2018-12-13 17:00:45,4.063739638447559e-09,1.993952966926433e-09,9.789543214617374e-10,4,8.023907501952606e-07,3.9370864261308233e-07,1.9329582165472007e-07
traindata_20181214_080317,20181214_080317,2018-12-14 08:03:17,6.862999320461544e-09,3.3674642261963856e-09,1.6532955948726675e-09,4,8.092537495157221e-07,3.9707610683927875e-07,1.9494911724959275e-07
traindata_20181214_170132,20181214_170132,2018-12-14 17:01:32,3.592373237958206e-09,1.762667865914343e-09,8.654022202431665e-10,4,8.128461227536803e-07,3.988387747051931e-07,1.958145194698359e-07
traindata_20181215_081123,20181215_081123,2018-12-15 08:11:23,4.166335758723157e-10,2.0442937506920048e-10,1.003669712762587e-10,4,8.132627563295526e-07,3.990432040802623e-07,1.9591488644111215e-07
traindata_20181215_171152,20181215_171152,2018-12-15 17:11:52,4.5903956345282486e-10,2.252366984399231e-10,1.1058256786739545e-10,4,8.137217958930054e-07,3.992684407787022e-07,1.9602546900897955e-07
traindata_20181216_081105,20181216_081105,2018-12-16 08:11:05,4.1164495614976103e-10,2.0198161168334147e-10,9.91652134694053e-11,4,8.141334408491551e-07,3.994704223903856e-07,1.9612463422244894e-07
traindata_20181216_171112,20181216_171112,2018-12-16 17:11:12,4.0861919283390133e-10,2.0049696200652793e-10,9.843630750167135e-11,4,8.14542060041989e-07,3.996709193523921e-07,1.9622307052995062e-07
traindata_20181217_080630,20181217_080630,2018-12-17 08:06:30,3.724981547564743e-08,1.8277347146556824e-08,8.973475438369411e-09,4,8.517918755176365e-07,4.179482664989489e-07,2.0519654596832004e-07
traindata_20181217_170454,20181217_170454,2018-12-17 17:04:54,3.449144836900935e-08,1.6923900625496133e-08,8.308985180757127e-09,4,8.862833238866458e-07,4.34872167124445e-07,2.1350553114907716e-07
traindata_20181218_080615,20181218_080615,2018-12-18 08:06:15,3.6230527457611925e-08,1.7777213636898492e-08,8.727929094644685e-09,4,9.225138513442577e-07,4.526493807613435e-07,2.2223346024372185e-07
traindata_20181218_170000,20181218_170000,2018-12-18 17:00:00,1.8704886944222916e-09,9.177916927942005e-10,4.5060046990351853e-10,4,9.2438434003868e-07,4.535671724541377e-07,2.2268406071362538e-07
traindata_20181219_080859,20181219_080859,2018-12-19 08:08:59,3.699812537525552e-08,1.8153850498869474e-08,8.91284332771039e-09,4,9.613824654139355e-07,4.7172102295300714e-07,2.3159690404133577e-07
traindata_20181219_170012,20181219_170012,2018-12-19 17:00:12,1.7845693397906248e-09,8.756336887568986e-10,4.2990250915867e-10,4,9.631670347537261e-07,4.72596656641764e-07,2.3202680655049444e-07
traindata_20181220_080137,20181220_080137,2018-12-20 08:01:37,9.369858055513811e-09,4.597503268346359e-09,2.2571975202703898e-09,4,9.7253689280924e-07,4.771941599101104e-07,2.3428400407076483e-07
traindata_20181220_170000,20181220_170000,2018-12-20 17:00:00,1.8629767136208757e-09,9.141057931699325e-10,4.487908347589076e-10,4,9.74399869522861e-07,4.781082657032803e-07,2.3473279490552373e-07
traindata_20181221_080616,20181221_080616,2018-12-21 08:06:16,3.66932969046339e-08,1.8004280475325386e-08,8.839410190952245e-09,4,1.011093166427495e-06,4.961125461786057e-07,2.4357220509647595e-07
traindata_20181221_170010,20181221_170010,2018-12-21 17:00:10,1.8222902663129428e-09,8.941421957101451e-10,4.38989475183558e-10,4,1.0129154566938079e-06,4.970066883743158e-07,2.440111945716595e-07
traindata_20181222_081048,20181222_081048,2018-12-22 08:10:48,4.223364765401725e-10,2.0722761430657043e-10,1.0174079926485453e-10,4,1.0133377931703482e-06,4.972139159886224e-07,2.4411293537092434e-07
traindata_20181222_171146,20181222_171146,2018-12-22 17:11:46,3.9894479377879664e-10,1.9575002976789521e-10,9.610574609637464e-11,4,1.0137367379641269e-06,4.974096660183903e-07,2.4420904111702073e-07
traindata_20181223_080956,20181223_080956,2018-12-23 08:09:56,7.728858424977273e-09,3.792314852465582e-09,1.8618809343769669e-09,4,1.021465596389104e-06,5.012019808708558e-07,2.460709220513977e-07
traindata_20181223_171231,20181223_171231,2018-12-23 17:12:31,4.355797902263061e-10,2.1372570398893294e-10,1.04931111715203e-10,4,1.0219011761793304e-06,5.014157065748447e-07,2.4617585316311286e-07
traindata_20181224_080536,20181224_080536,2018-12-24 08:05:36,8.094205066391427e-10,3.97157929468331e-10,1.949892890177501e-10,4,1.0227105966859695e-06,5.01812864504313e-07,2.463708424521306e-07
traindata_20181224_170525,20181224_170525,2018-12-24 17:05:25,3.362669109136133e-08,1.649959063203006e-08,8.100665271194117e-09,4,1.0563372877773308e-06,5.18312455136343e-07,2.5447150772332473e-07
traindata_20181225_081156,20181225_081156,2018-12-25 08:11:56,4.29358322942642e-10,2.106730199460062e-10,1.0343236109999316e-10,4,1.0567666461002734e-06,5.18523128156289e-07,2.5457494008442474e-07
traindata_20181225_171156,20181225_171156,2018-12-25 17:11:56,4.0532774683803143e-10,1.9888194995042827e-10,9.764339861276779e-11,4,1.0571719738471114e-06,5.187220101062394e-07,2.546725834830375e-07
traindata_20181226_080412,20181226_080412,2018-12-26 08:04:12,9.135836035736516e-10,4.482675808376674e-10,2.200821647807824e-10,4,1.058085557450685e-06,5.191702776870771e-07,2.548926656478183e-07
traindata_20181226_171503,20181226_171503,2018-12-26 17:15:03,1.5469578486970015e-08,7.590449848056432e-09,3.72661933548385e-09,4,1.073555135937655e-06,5.267607275351335e-07,2.586192849833022e-07
traindata_20181227_080441,20181227_080441,2018-12-27 08:04:41,7.70623405794906e-10,3.7812137663295654e-10,1.8564307274633488e-10,4,1.07432575934345e-06,5.271388489117665e-07,2.5880492805604854e-07
traindata_20181227_170556,20181227_170556,2018-12-27 17:05:56,3.409366794001367e-08,1.6728721913977052e-08,8.213159929977285e-09,4,1.1084194272834637e-06,5.438675708257435e-07,2.6701808798602583e-07
traindata_20181228_081028,20181228_081028,2018-12-28 08:10:28,3.396515148578658e-08,1.6665662813738312e-08,8.182200333783123e-09,4,1.1423845787692504e-06,5.605332336394818e-07,2.7520028831980895e-07
traindata_20181228_170526,20181228_170526,2018-12-28 17:05:26,3.385052078117541e-08,1.6609417026877914e-08,8.154585812766669e-09,4,1.1762350995504257e-06,5.771426506663597e-07,2.8335487413257564e-07
traindata_20181229_081104,20181229_081104,2018-12-29 08:11:04,4.739012524005197e-10,2.3252887545107493e-10,1.1416274669625472e-10,4,1.1767090008028262e-06,5.773751795418108e-07,2.834690368792719e-07
traindata_20181229_171411,20181229_171411,2018-12-29 17:14:11,1.3392854074895619e-08,6.571464585377003e-09,3.226336709488161e-09,4,1.1901018548777218e-06,5.839466441271878e-07,2.8669537358876005e-07
traindata_20181230_081159,20181230_081159,2018-12-30 08:11:59,4.232138083691722e-10,2.076580942484599e-10,1.0195214838211323e-10,4,1.190525068686091e-06,5.841543022214362e-07,2.8679732573714216e-07
traindata_20181230_171535,20181230_171535,2018-12-30 17:15:35,1.3267073681688758e-08,6.5097479867437805e-09,3.1960362300184544e-09,4,1.2037921423677797e-06,5.9066405020818e-07,2.899933619671606e-07
traindata_20181231_080610,20181231_080610,2018-12-31 08:06:10,3.7385260019991166e-08,1.8343805649088087e-08,9.006104010522315e-09,4,1.2411774023877709e-06,6.090078558572681e-07,2.9899946597768294e-07
traindata_20181231_170618,20181231_170618,2018-12-31 17:06:18,3.438660573910019e-08,1.687245754804356e-08,8.283728605593719e-09,4,1.2755640081268711e-06,6.258803134053117e-07,3.0728319458327666e-07
