event_id,channel,type,min,max,std
traindata_20181004_070210,aBD11Az,accel,-1.60800067958959,1.6763241625695793,0.08654806041336899
traindata_20181004_070210,aBD17Ay,accel,,,
traindata_20181004_070210,aBD17Az,accel,-1.2181514705228538,1.255168492935454,0.0929391709923262
traindata_20181004_070210,aBD17Cz,accel,,,
traindata_20181004_070210,aBD23Ay,accel,,,
traindata_20181004_070210,aBD23Az,accel,,,
traindata_20181004_070210,aAR0910Ay,accel,,,
traindata_20181004_070210,aAR0910Cy,accel,,,
traindata_20181004_070210,aAR1516Ay,accel,,,
traindata_20181004_070210,aAR1516Cy,accel,,,
traindata_20181004_070210,aAR2122Ay,accel,,,
traindata_20181004_070210,aAR2122Cy,accel,,,
traindata_20181004_070210,sgBD1011A,strain,-1.0625142101064857e-06,2.312712993961485e-05,5.820732621721506e-06
traindata_20181004_070210,sgBD1415A,strain,-1.2733029857929892e-06,1.9873534368456417e-05,5.078945831068919e-06
traindata_20181004_070210,sgBD1718A,strain,,,
traindata_20181004_070210,sgBD1718C,strain,-2.2475509090188236e-06,2.4805337496484038e-05,6.346385175360024e-06
traindata_20181004_070210,sgBD2324AB,strain,,,
traindata_20181004_070210,sgBD2324AT,strain,,,
traindata_20181004_070210,sgBD2324C,strain,-2.436049111166009e-06,1.947661208412236e-05,4.93710745689762e-06
traindata_20181004_070210,sgBD2728A,strain,-1.642431007083548e-06,5.425886188147139e-05,1.4725998282727899e-05
traindata_20181004_070210,sgDI20ALB,strain,,,
traindata_20181004_070210,sgDI20ALL,strain,,,
traindata_20181004_070210,sgDI23ALB,strain,,,
traindata_20181004_070210,sgDI23ALL,strain,,,
traindata_20181004_070210,sgRABB,strain,,,
traindata_20181004_070210,sgRABL,strain,,,
traindata_20181004_070210,sgRAAB,strain,,,
traindata_20181004_070210,sgRAAL,strain,,,
traindata_20181004_160104,aBD11Az,accel,-0.6570180444773205,0.6924853568829893,0.057736534700409486
traindata_20181004_160104,aBD17Ay,accel,,,
traindata_20181004_160104,aBD17Az,accel,-0.9876839009820071,0.956593947564081,0.06772698583687828
traindata_20181004_160104,aBD17Cz,accel,,,
traindata_20181004_160104,aBD23Ay,accel,,,
traindata_20181004_160104,aBD23Az,accel,,,
traindata_20181004_160104,aAR0910Ay,accel,,,
traindata_20181004_160104,aAR0910Cy,accel,,,
traindata_20181004_160104,aAR1516Ay,accel,,,
traindata_20181004_160104,aAR1516Cy,accel,,,
traindata_20181004_160104,aAR2122Ay,accel,,,
traindata_20181004_160104,aAR2122Cy,accel,,,
traindata_20181004_160104,sgBD1011A,strain,-2.1112306907285715e-06,6.382606732136193e-06,9.466609361840065e-07
traindata_20181004_160104,sgBD1415A,strain,-5.86326605846345e-06,1.892033704808233e-06,1.0811851107731146e-06
traindata_20181004_160104,sgBD1718A,strain,,,
traindata_20181004_160104,sgBD1718C,strain,-1.6026739963002207e-06,4.335998800237142e-05,1.0388851492672942e-05
traindata_20181004_160104,sgBD2324AB,strain,,,
traindata_20181004_160104,sgBD2324AT,strain,,,
traindata_20181004_160104,sgBD2324C,strain,-2.042574244954761e-06,3.85842587458664e-05,1.0234252824490144e-05
traindata_20181004_160104,sgBD2728A,strain,-3.356056111671929e-06,1.5519731242236825e-05,2.7109725535127394e-06
traindata_20181004_160104,sgDI20ALB,strain,,,
traindata_20181004_160104,sgDI20ALL,strain,,,
traindata_20181004_160104,sgDI23ALB,strain,,,
traindata_20181004_160104,sgDI23ALL,strain,,,
traindata_20181004_160104,sgRABB,strain,,,
traindata_20181004_160104,sgRABL,strain,,,
traindata_20181004_160104,sgRAAB,strain,,,
traindata_20181004_160104,sgRAAL,strain,,,
traindata_20181005_070124,aBD11Az,accel,-1.214034684684516,0.9295720754589301,0.09042418568007506
traindata_20181005_070124,aBD17Ay,accel,,,
traindata_20181005_070124,aBD17Az,accel,-1.1097236198428488,0.9745387106757759,0.10804048604276689
traindata_20181005_070124,aBD17Cz,accel,,,
traindata_20181005_070124,aBD23Ay,accel,,,
